"user","viz","accuracy","difficulty"
"iZbujpH9ftg6KsTR6","dots",1,"easy"
"in8NNmBKCnkoLWHvR","dots",1,"easy"
"jXZn9X83ef2JJBFwg","dots",1,"easy"
"jpmvJFJDkAy6Qsaxi","dots",0.25,"easy"
"kR9gXGwgC2SnJsu6q","dots",0.75,"easy"
"mHBGJAQ8ExL8qY4gi","dots",1,"easy"
"mjy4Mv3a2yGaMpc4E","dots",1,"easy"
"nFDdWcuugyswBQCMR","dots",0.25,"easy"
"oA48TCv4sRFG3ocsX","dots",0.5,"easy"
"oTWN3XnRXhqpNGZsP","dots",1,"easy"
"paX4nvBm9jwDpdR2J","dots",0.75,"easy"
"qgzmQ77MB9AKcE9Fy","dots",1,"easy"
"qzH7FmBcioiJyuEnY","dots",1,"easy"
"rdBwKfSNTAKQWpsGh","dots",0.5,"easy"
"rvn8bRwTMatqzgReu","dots",0.5,"easy"
"s3gy6QAtbGfSsgnXT","dots",0.75,"easy"
"sGYHFWE6HoCL7BoJg","dots",1,"easy"
"tjHryQhhrgRv3h48J","dots",0.75,"easy"
"toJyc3up66AxtgvGn","dots",0.75,"easy"
"tu5iL4cwMnkixZFxs","dots",1,"easy"
"uMwnMRnysYSSHpj3X","dots",0.75,"easy"
"vZtpvuvY6fsNSzFsW","dots",0.75,"easy"
"wC882gjwdsRsQ8iiS","dots",0.25,"easy"
"wGNymGb9TrqzwJTbo","dots",0.75,"easy"
"wThHEfiYtJwhzCsau","dots",0.5,"easy"
"whoCwcBHkH2qigHRq","dots",0.75,"easy"
"xqXfF5CnyCgkFJ6a3","dots",0.75,"easy"
"y6hCAEa6pDy8Gbm67","dots",0.25,"easy"
"yDuMqTgtWc4G2LQR7","dots",0.5,"easy"
"yqGbGwB4rJziABCxB","dots",0.75,"easy"
"28CHCCaX86Minmj7c","chart",1,"medium"
"2MRCHFhT65vrXtvJz","chart",1,"medium"
"2MejMZLQaWQznRtE2","chart",0.75,"medium"
"45jqgtswH3drmsjx5","chart",0.75,"medium"
"4zRq6hPsqtP7FZbhx","chart",0.5,"medium"
"5JDFvPXkSznwyMAC5","chart",1,"medium"
"6mKtSBrzBBPyic4HP","chart",1,"medium"
"7SnZEt5u4cDaQp3Ti","chart",0.75,"medium"
"7u5XdW2fvvpQyQEw2","chart",0.75,"medium"
"8GZPtZAAnG8Fm4ciK","chart",0.75,"medium"
"9pdsf5midvhEDBrQa","chart",0.75,"medium"
"BcJjiDTZjYJvWTCe3","chart",1,"medium"
"CKf5XfBAJpfcGsvT2","chart",1,"medium"
"D6XMoj2aKSjtJSEJf","chart",1,"medium"
"EmzJRiyqRKCougYZN","chart",0.5,"medium"
"Exj6H7bRPSCjPigQm","chart",1,"medium"
"G6zbMK6ZZ9JcN7KgD","chart",0.25,"medium"
"GDZ999tSLx7bJTjCH","chart",0,"medium"
"HCJjRGzyJLFgbeDem","chart",0.75,"medium"
"Ke592aJdjyNZ4ntW3","chart",1,"medium"
"KmKn9NMEfj2whSPT2","chart",0.75,"medium"
"LsyvaxixbfNLFBxLj","chart",0.75,"medium"
"PKgrWHAhesWh7iJ6z","chart",0.75,"medium"
"PpXojivkwpZLtvhh7","chart",1,"medium"
"QzCkGfR5Sqv6EkKD5","chart",1,"medium"
"R2xdmvvBWBFZjLLLj","chart",1,"medium"
"R3xdYFqaJp4J3wGF7","chart",1,"medium"
"RHxAXBeu3bNHSrwrH","chart",1,"medium"
"SQGukoGkEKRKRwcDQ","chart",1,"medium"
"SRXvtxnkZ3oFdqzLQ","chart",0.5,"medium"
"SbBJYTDgm6FCG7xGG","chart",1,"medium"
"Snxk6v7KGNcD3omw3","chart",1,"medium"
