"user","viz","actions","difficulty"
"eJLcPS8n3aLYMZetQ","series",6.25,"easy"
"eWYf558HzqZYTLXjd","series",10,"easy"
"eneKDk3QDTpghzkg5","series",8.25,"easy"
"fJ9m7KSykZNBKraP9","series",13.25,"easy"
"fnybrL5hbku3RuxsW","series",9,"easy"
"fqMr9DzgADfvbhEFP","series",7.75,"easy"
"g8752kBeS4S7Q2bFZ","series",6.5,"easy"
"gjHnYbyFFisfigApY","series",5.25,"easy"
"hgYDJshRwxs7egfvX","series",10.5,"easy"
"iACT8Wc9PosXt7xH6","series",6.5,"easy"
"jT3SAdPp5gfHr4k4n","series",4.75,"easy"
"jbuSnNTzpPv7iQPGq","series",7.5,"easy"
"kJCFGZGPqBPM5NiEu","series",7.25,"easy"
"kuA7hMBw2iFfwZ9fw","series",5,"easy"
"mh9p2kSQWvM8uAEK7","series",9.25,"easy"
"nAPiCihqksXL2XbTM","series",8,"easy"
"nPCqhcMdGm39zbLEe","series",3.75,"easy"
"nnqqJDqAKBySbdvdE","series",7.5,"easy"
"obXkTyEzXzSrubofE","series",4.75,"easy"
"qNMBxhDWJv2wbJPzh","series",5.5,"easy"
"qZwnWqNYBMnLCHzz2","series",10.5,"easy"
"qjzv49dPMBpv5LSyA","series",3.75,"easy"
"rP3cpBASPsit6sCMQ","series",7.25,"easy"
"sndaJBRShTy4bzbPq","series",13.5,"easy"
"stmcDKF2QPkaxzcxZ","series",12,"easy"
"uTbjZ8i4j5enGeHvQ","series",8.5,"easy"
"uf8PMATFx4hCcscLz","series",5.25,"easy"
"vF6k2cJjTXN2jH9Jj","series",8,"easy"
"vSzr7miAEFuvzip2b","series",6.75,"easy"
"vTe2CEZbj9q8wkhYc","series",11.25,"easy"
"vhAsiBXaDHghxPSTn","series",4,"easy"
"wHpjq3hzhkJu5kNHm","series",9.5,"easy"
"wRfXsATRbv699hZeG","series",4.25,"easy"
"wpHaTDLSHxwWcei3T","series",6.75,"easy"
"wsybRyehJdJyxLfCS","series",1,"easy"
"wtNK7f3ZzgkWHgCEN","series",5,"easy"
"wyjoPhnY2LzWWZAAh","series",5,"easy"
"xrzoyr6xvKMK57tSi","series",4.5,"easy"
"yMWvDqhxa73veYGvv","series",6.5,"easy"
"44Q3cDweeZi2KdNrQ","dots",6.25,"easy"
"49wAhBNrW23jx3XXn","dots",2.25,"easy"
"4k5RPShwnGPRsGyT5","dots",6,"easy"
"4yFSjAcLo8Xpb5NBr","dots",7,"easy"
"565FWNPmM73esEnv7","dots",9.5,"easy"
"5L4DdJBz8gq2Fug2c","dots",5.5,"easy"
"6bJLH7KTRKX24rdzY","dots",5.5,"easy"
"6hgn73CdCNRrsor7j","dots",10.25,"easy"
"6saGvz5mG5TgySvef","dots",4.25,"easy"
"6uWMQQ6rvPijqaHNb","dots",7.25,"easy"
"6w7CZYGQNDrpj7Dfp","dots",1.75,"easy"
"7mkiJ4PwnZGd2X5r3","dots",7.5,"easy"
"7sxqmnM8jPLCjgvur","dots",4.75,"easy"
"BGRvy45SSZdLGcDG9","dots",11,"easy"
"BRKEpiDsoBxXrNKWE","dots",12,"easy"
"ChMyMnHcj3MDEjgQT","dots",6.25,"easy"
"DAF22qWpCZ47gHCzY","dots",1.25,"easy"
"DejXtMhqHs5NKZnzH","dots",5,"easy"
"G6dBvgqckNkQ6g2gB","dots",10.25,"easy"
"GEZt6ZhsCGbMQtuXb","dots",6,"easy"
"GJs3xFDrbmEwXYAkh","dots",5.75,"easy"
"GM4BbQSYSjxzjrERS","dots",12.75,"easy"
"JTxorRPnKEGqjSq4K","dots",6,"easy"
"Je8XpG9m9hC9hToY4","dots",2,"easy"
"JkH5ARHNWebYz6nGM","dots",5.25,"easy"
"JodzAGSWFtbvdeSqk","dots",1.75,"easy"
"KT37QyJpjP4JnFivG","dots",10.25,"easy"
"LHMtg4o7REozFZQst","dots",5.75,"easy"
"LzuRw7CoatTcNqkTa","dots",18.25,"easy"
"NQCMNnTz4xWZApaQB","dots",1.5,"easy"
"NWX67F5zDpwL4WnxW","dots",5,"easy"
"PwEBrnoa3rZjouL34","dots",5.5,"easy"
"QYunZ6tMA7J26vjAd","dots",7,"easy"
"So6vS7RTzcjczT2Ez","dots",6.25,"easy"
"TX9Dts9gXNPXMz8rB","dots",8.25,"easy"
"TkfAAFTqB28dK39oz","dots",8.25,"easy"
"WP5PCfQxB3wEAurmg","dots",10.5,"easy"
"XYBg97mNbPsE3LvZ3","dots",2.25,"easy"
"Xvfo9pTPRFTcRWZjk","dots",4.75,"easy"
"YuvzrAZxcQM3iybyi","dots",7,"easy"
"Z6Hs8C578xLyc3mPW","dots",1.75,"easy"
"bLmrD6kL2LcejcDGG","dots",6.25,"easy"
"bNfX5RtGxcjjEaQnm","dots",8,"easy"
"ciXN2wMuNmuSQ39g2","dots",3.5,"easy"
"eFKFSc7w9LpttzJXf","dots",1.75,"easy"
"eH6KnmqCsvg7MYmLA","dots",6.5,"easy"
"eneTp6w6pA84Mei59","dots",6.5,"easy"
"fZtpasQDW9KEkvNvm","dots",4.5,"easy"
"gg3R6eX4snK5WPerg","dots",4.5,"easy"
"gkKbippZgDj7cmuE5","dots",6.25,"easy"
"gmhXAx3kc6sHGYumc","dots",8.75,"easy"
"gmmuoNCkMmb4GrMiY","dots",12.5,"easy"
"h5YWLzcpNyYqbXw6v","dots",1.5,"easy"
"iZbujpH9ftg6KsTR6","dots",7.5,"easy"
"in8NNmBKCnkoLWHvR","dots",4.25,"easy"
"jXZn9X83ef2JJBFwg","dots",6.25,"easy"
"jpmvJFJDkAy6Qsaxi","dots",3,"easy"
"kR9gXGwgC2SnJsu6q","dots",8.5,"easy"
"mHBGJAQ8ExL8qY4gi","dots",5,"easy"
"mjy4Mv3a2yGaMpc4E","dots",8,"easy"
"nFDdWcuugyswBQCMR","dots",9.25,"easy"
"oA48TCv4sRFG3ocsX","dots",8,"easy"
"oTWN3XnRXhqpNGZsP","dots",4.75,"easy"
"paX4nvBm9jwDpdR2J","dots",8.25,"easy"
"qgzmQ77MB9AKcE9Fy","dots",18.25,"easy"
"qzH7FmBcioiJyuEnY","dots",9,"easy"
"rdBwKfSNTAKQWpsGh","dots",8.5,"easy"
"rvn8bRwTMatqzgReu","dots",3.75,"easy"
"s3gy6QAtbGfSsgnXT","dots",11,"easy"
"sGYHFWE6HoCL7BoJg","dots",10,"easy"
"tjHryQhhrgRv3h48J","dots",12.25,"easy"
"toJyc3up66AxtgvGn","dots",7.5,"easy"
"tu5iL4cwMnkixZFxs","dots",5.25,"easy"
"uMwnMRnysYSSHpj3X","dots",7.5,"easy"
"vZtpvuvY6fsNSzFsW","dots",5.25,"easy"
"wC882gjwdsRsQ8iiS","dots",1.25,"easy"
"wGNymGb9TrqzwJTbo","dots",8,"easy"
"wThHEfiYtJwhzCsau","dots",9.25,"easy"
"whoCwcBHkH2qigHRq","dots",6.5,"easy"
"xqXfF5CnyCgkFJ6a3","dots",5.5,"easy"
"y6hCAEa6pDy8Gbm67","dots",6,"easy"
"yDuMqTgtWc4G2LQR7","dots",5.5,"easy"
"yqGbGwB4rJziABCxB","dots",4,"easy"
"28CHCCaX86Minmj7c","chart",3.75,"medium"
"2MRCHFhT65vrXtvJz","chart",6,"medium"
"2MejMZLQaWQznRtE2","chart",6,"medium"
"45jqgtswH3drmsjx5","chart",10,"medium"
"4zRq6hPsqtP7FZbhx","chart",3.5,"medium"
"5JDFvPXkSznwyMAC5","chart",5.5,"medium"
"6mKtSBrzBBPyic4HP","chart",5,"medium"
"7SnZEt5u4cDaQp3Ti","chart",4.75,"medium"
"7u5XdW2fvvpQyQEw2","chart",2.25,"medium"
"8GZPtZAAnG8Fm4ciK","chart",6,"medium"
"9pdsf5midvhEDBrQa","chart",5.75,"medium"
"BcJjiDTZjYJvWTCe3","chart",8,"medium"
"CKf5XfBAJpfcGsvT2","chart",6.25,"medium"
"D6XMoj2aKSjtJSEJf","chart",8.25,"medium"
"EmzJRiyqRKCougYZN","chart",6.75,"medium"
"Exj6H7bRPSCjPigQm","chart",6.75,"medium"
"G6zbMK6ZZ9JcN7KgD","chart",1.25,"medium"
"GDZ999tSLx7bJTjCH","chart",12,"medium"
"HCJjRGzyJLFgbeDem","chart",5,"medium"
"Ke592aJdjyNZ4ntW3","chart",4.75,"medium"
"KmKn9NMEfj2whSPT2","chart",8.5,"medium"
"LsyvaxixbfNLFBxLj","chart",7,"medium"
"PKgrWHAhesWh7iJ6z","chart",8.75,"medium"
"PpXojivkwpZLtvhh7","chart",7.75,"medium"
"QzCkGfR5Sqv6EkKD5","chart",5.5,"medium"
"R2xdmvvBWBFZjLLLj","chart",8.25,"medium"
"R3xdYFqaJp4J3wGF7","chart",6,"medium"
"RHxAXBeu3bNHSrwrH","chart",8.25,"medium"
"SQGukoGkEKRKRwcDQ","chart",9.25,"medium"
"SRXvtxnkZ3oFdqzLQ","chart",4.75,"medium"
"SbBJYTDgm6FCG7xGG","chart",4.5,"medium"
"Snxk6v7KGNcD3omw3","chart",4.75,"medium"
"SyhdSuB4y9NgPMA6H","chart",9.75,"medium"
"W9KmHzPDL9zgejZBv","chart",5.25,"medium"
"WT6eAuzxb2q9D2dKy","chart",5.5,"medium"
"Y8MQD9crBw3XCtvHa","chart",5.25,"medium"
"Y8eiaT7fnGm8vH2s9","chart",4.75,"medium"
"YL7udNgoFoKPu5hF5","chart",8.75,"medium"
"Yr5Zvv6H9SZSqizrr","chart",5.25,"medium"
"ZBLBSAhYkJ4YhKXHy","chart",9,"medium"
"ZLTTgMCadn3BcvAuZ","chart",15.75,"medium"
"Zozdc9QR8pqdDuEwD","chart",6.5,"medium"
"ZvNs6QCxpMBYhpfAo","chart",6,"medium"
"aKpbREh99H6n95KiC","chart",6,"medium"
"bByT7Rh9roCmbqaGC","chart",7,"medium"
"bsEpkh7YojCJLghEd","chart",6.75,"medium"
"cgYyY4fTJXA56ctZL","chart",5.5,"medium"
"cr57saSB3apE9rfTz","chart",4.5,"medium"
"d4WEZyZkMm48TdGgs","chart",7,"medium"
"dYCJXPSnQ9T3YobK4","chart",6.5,"medium"
"dZ8KiZZ2E3tazJAkN","chart",8,"medium"
"deejY9yj8hNefPrXY","chart",8.25,"medium"
"dmd8zDgoEDghk799k","chart",7,"medium"
"g5GEZn5hfoCkLqBLv","chart",5.25,"medium"
"gfs5G7LwXHLy9S5MP","chart",8,"medium"
"ghaAPFo6Xv3B9BZLK","chart",4.75,"medium"
"hPNTYGwERATDGDmLd","chart",3.75,"medium"
"iQNwNrzPorJeZRigg","chart",7.25,"medium"
"iZc3BMSXq68FKL3J8","chart",10.5,"medium"
"jW8hRMBPdt2SJEhZK","chart",3.5,"medium"
"k3iaj4mXTYFhTQGFJ","chart",2.75,"medium"
"kE4E4E2Zi474xtpKz","chart",6.75,"medium"
"mTp5RGkhAozn3pQki","chart",6,"medium"
"nisosFZ4dTEcXEdk3","chart",8.75,"medium"
"oS6C28ZBbcjF9ig5X","chart",4.75,"medium"
"op7kCpeMH7kgetiMX","chart",8.5,"medium"
"pBWdGHFmTu4Qw4snK","chart",5.5,"medium"
"pBZkpnAEoktK8YKwE","chart",6,"medium"
"qJgXxS5NHQc7JKZkA","chart",1.75,"medium"
"qtXFYALWvHiRafMvt","chart",5,"medium"
"rd8ivR2ve6AZXcqWp","chart",6.25,"medium"
"rpWb9YHJxpBKBy7pb","chart",6,"medium"
"sF9AdTFX7AJhypvCG","chart",13,"medium"
"t44ry6X7EnsvdqB6P","chart",11,"medium"
"tPBRJZguAyGyNN4H8","chart",6.25,"medium"
"tk8k2evrrS3s6Yw36","chart",1,"medium"
"vAm5piEWXfCXNsY7B","chart",5.5,"medium"
"vF4rwKEvi8otv5Pmx","chart",4.5,"medium"
"vKEtys3s8MppqDY9s","chart",6,"medium"
"w9xJDy63X4ixWuFvo","chart",7,"medium"
"wHETwTGT8FX5gYBH3","chart",6,"medium"
"xHrZaMN5Gg4n9xQsT","chart",7.5,"medium"
"xsLJWtHndc8s8WCce","chart",6,"medium"
"zncMWhGYQGmJSzXqa","chart",6.25,"medium"
"2Q34zAD2zTXRBaKu8","series",7.75,"medium"
"2pWSXLKqvCx7eLRHz","series",7.75,"medium"
"44MoHdTtHYg8Qim7C","series",5.25,"medium"
"5jp6HzWG9rMCBuRir","series",16.5,"medium"
"67e6Jh7hWzotbX4Er","series",10.25,"medium"
"6YiN7fLiZ8SDvsbLQ","series",8.5,"medium"
"6zyqucmdag4Xa4iSN","series",4.75,"medium"
"7kwt7pEsqN4qM28QR","series",7.75,"medium"
"7rxAoRJmJHaX26cqT","series",5.75,"medium"
"83NZFPecaGdFaxyyt","series",9.75,"medium"
"8mqew4zMANoi4fjsz","series",9.75,"medium"
"9bnFuHDpLcZFdwqxW","series",5,"medium"
"BgpK75C5uxeoHow2C","series",9.75,"medium"
"CBdaPJBEBq2xTJvgi","series",4.25,"medium"
"CzQsYF2oyREYEL3px","series",6.5,"medium"
"DAK7qCYagGXaKmTZy","series",3.25,"medium"
"DpfKW34oXPR9XvjKQ","series",9,"medium"
"EB2LaCrRfSNBuQ4vZ","series",4.5,"medium"
"EbtiYzqZtKd68LSjv","series",8.75,"medium"
"Eqn4ype3Z9xvpy6jD","series",3.5,"medium"
"FMACGWEb2mpFmzcy8","series",7.5,"medium"
"FTWQdHzfYQebiCvue","series",7.75,"medium"
"FqCqdGdj9BARepSne","series",6.5,"medium"
"HR5hGs4XkMDoDYfhQ","series",5.5,"medium"
"HStqpovWTqfwSwfpC","series",7.5,"medium"
"HSzZRx9bSdXWiRdLk","series",6.5,"medium"
"HYLe8iN7tKsJQZQjt","series",7,"medium"
"HpKs8JeagNQCAHcYx","series",4.25,"medium"
"HttjEXro9w8B2reDD","series",9.5,"medium"
"JqfvicGQJXeeKRJ64","series",13.25,"medium"
"JtNC5LZmmsmt7BrXm","series",6.5,"medium"
"KBG93DoQC4YeksP73","series",10.5,"medium"
"KDkcqMDJgbEfuyecm","series",7.5,"medium"
"KSaHABwnWq7vMF8ud","series",5.5,"medium"
"KXyDP5KMrmHR7bWvw","series",5.75,"medium"
"KeeScEwzE7d7Y8pjM","series",8.75,"medium"
"Ks7TdoNZwHMhapYuY","series",12.5,"medium"
"L6hhWSmzt5Gre4bMc","series",5.5,"medium"
"NLnWB24ANhreeNFuh","series",6.25,"medium"
"NZrcevWgubZ6E9Lc4","series",6.25,"medium"
"NisupxDZ8oQayBpB5","series",5.25,"medium"
"NzaXeMLv7jexivZFF","series",7.25,"medium"
"SQHrrqMRPZPWfD6d3","series",7.5,"medium"
"SphgvbbrKkYNYaWNd","series",8.25,"medium"
"TJadZckir3gGdGQj9","series",17.75,"medium"
"TZKHo2T9ywkiKhPyX","series",7,"medium"
"TbhJt2kCMtWXJ387e","series",7,"medium"
"W7XciYuzprjnwgbTP","series",6.5,"medium"
"WW9zqyfyPHjFS6fPR","series",5.5,"medium"
"We3Btupw8RnuCSnYC","series",10.25,"medium"
"YDbqWAi595CRKxbjf","series",12.5,"medium"
"YJzWPZRYPHG3rRrBw","series",5.75,"medium"
"YSX6542MwRYTZdDFW","series",5.5,"medium"
"Z3aTLPbG8wvPy6TzA","series",5,"medium"
"ZHNtTdcsi2rTaqr3H","series",7,"medium"
"ZinxDRBpTmbfPbyh3","series",8.5,"medium"
"anADbMMrWqwy5fpXL","series",6.5,"medium"
"dLfWKPg4vzZENza7s","series",6,"medium"
"dtQA2mR79kEjZbCtx","series",10.5,"medium"
"eJLcPS8n3aLYMZetQ","series",5.25,"medium"
"eWYf558HzqZYTLXjd","series",12.25,"medium"
