"user","viz","speed","difficulty"
"qNMBxhDWJv2wbJPzh","series",72.9095,"easy"
"qZwnWqNYBMnLCHzz2","series",48.537,"easy"
"qjzv49dPMBpv5LSyA","series",43.4505,"easy"
"rP3cpBASPsit6sCMQ","series",40.14675,"easy"
"sndaJBRShTy4bzbPq","series",57.22225,"easy"
"stmcDKF2QPkaxzcxZ","series",78.795,"easy"
"uTbjZ8i4j5enGeHvQ","series",91.22825,"easy"
"uf8PMATFx4hCcscLz","series",54.0185,"easy"
"vF6k2cJjTXN2jH9Jj","series",71.512,"easy"
"vSzr7miAEFuvzip2b","series",47.383,"easy"
"vTe2CEZbj9q8wkhYc","series",95.4105,"easy"
"vhAsiBXaDHghxPSTn","series",44.0845,"easy"
"wHpjq3hzhkJu5kNHm","series",70.27225,"easy"
"wRfXsATRbv699hZeG","series",45.18075,"easy"
"wpHaTDLSHxwWcei3T","series",55.65775,"easy"
"wsybRyehJdJyxLfCS","series",26.81525,"easy"
"wtNK7f3ZzgkWHgCEN","series",46.17575,"easy"
"wyjoPhnY2LzWWZAAh","series",55.991,"easy"
"xrzoyr6xvKMK57tSi","series",57.50375,"easy"
"yMWvDqhxa73veYGvv","series",37.97875,"easy"
"44Q3cDweeZi2KdNrQ","dots",45.15175,"easy"
"49wAhBNrW23jx3XXn","dots",30.0345,"easy"
"4k5RPShwnGPRsGyT5","dots",39.84725,"easy"
"4yFSjAcLo8Xpb5NBr","dots",39.99725,"easy"
"565FWNPmM73esEnv7","dots",55.258,"easy"
"5L4DdJBz8gq2Fug2c","dots",35.6575,"easy"
"6bJLH7KTRKX24rdzY","dots",43.688,"easy"
"6hgn73CdCNRrsor7j","dots",47.9995,"easy"
"6saGvz5mG5TgySvef","dots",44.32,"easy"
"6uWMQQ6rvPijqaHNb","dots",54.606,"easy"
"6w7CZYGQNDrpj7Dfp","dots",37.67525,"easy"
"7mkiJ4PwnZGd2X5r3","dots",61.47875,"easy"
"7sxqmnM8jPLCjgvur","dots",72.87875,"easy"
"BGRvy45SSZdLGcDG9","dots",59.708,"easy"
"BRKEpiDsoBxXrNKWE","dots",51.85475,"easy"
"ChMyMnHcj3MDEjgQT","dots",60.593,"easy"
"DAF22qWpCZ47gHCzY","dots",6.80325,"easy"
"DejXtMhqHs5NKZnzH","dots",55.03825,"easy"
"G6dBvgqckNkQ6g2gB","dots",69.27425,"easy"
"GEZt6ZhsCGbMQtuXb","dots",37.35975,"easy"
"GJs3xFDrbmEwXYAkh","dots",59.569,"easy"
"GM4BbQSYSjxzjrERS","dots",78.20375,"easy"
"JTxorRPnKEGqjSq4K","dots",79.5,"easy"
"Je8XpG9m9hC9hToY4","dots",64.339,"easy"
"JkH5ARHNWebYz6nGM","dots",58.43525,"easy"
"JodzAGSWFtbvdeSqk","dots",7.01175,"easy"
"KT37QyJpjP4JnFivG","dots",110.8535,"easy"
"LHMtg4o7REozFZQst","dots",43.78975,"easy"
"LzuRw7CoatTcNqkTa","dots",68.86025,"easy"
"NQCMNnTz4xWZApaQB","dots",6.89725,"easy"
"NWX67F5zDpwL4WnxW","dots",43.74725,"easy"
"PwEBrnoa3rZjouL34","dots",43.0765,"easy"
